"Year","Age","Female","Male","Total"
1837,"0",3315,4376,7691
1837,"1",865.94,963.7,1829.64
1837,"2",582.06,657.3,1239.36
1837,"3",366.21,387.87,754.08
1837,"4",242.79,236.13,478.92
1837,"5",202,199.12,401.12
1837,"6",180.12,184.3,364.42
1837,"7",161.22,168.55,329.77
1837,"8",145.29,151.84,297.13
1837,"9",132.36,134.19,266.55
1837,"10",122.01,116.34,238.35
1837,"11",112.68,101.21,213.89
1837,"12",103.98,89.54,193.52
1837,"13",95.9,81.34,177.24
1837,"14",88.44,76.59,165.03
1837,"15",81.86,74.89,156.75
1837,"16",77.09,74.57,151.66
1837,"17",74.35,75.23,149.58
1837,"18",73.67,76.86,150.53
1837,"19",75.03,79.45,154.48
1837,"20",77.99,82.65,160.64
1837,"21",80.75,84.92,165.67
1837,"22",82.85,85.9,168.75
1837,"23",84.31,85.58,169.89
1837,"24",85.1,83.95,169.05
1837,"25",85.31,81.42,166.73
1837,"26",85.21,79.45,164.66
1837,"27",84.85,78.45,163.3
1837,"28",84.24,78.39,162.63
1837,"29",83.38,79.3,162.68
1837,"30",82.47,81.07,163.54
1837,"31",82.34,83.38,165.72
1837,"32",83.21,86.15,169.36
1837,"33",85.06,89.37,174.43
1837,"34",87.91,93.03,180.94
1837,"35",91.35,96.87,188.22
1837,"36",93.83,99.72,193.55
1837,"37",94.95,101.27,196.22
1837,"38",94.72,101.57,196.29
1837,"39",93.15,100.58,193.73
1837,"40",90.48,98.71,189.19
1837,"41",87.84,97.55,185.39
1837,"42",85.5,97.49,182.99
1837,"43",83.46,98.54,182
1837,"44",81.72,100.7,182.42
1837,"45",80.43,103.65,184.08
1837,"46",80.25,106.17,186.42
1837,"47",81.33,107.94,189.27
1837,"48",83.68,108.98,192.66
1837,"49",87.32,109.26,196.58
1837,"50",91.84,109.16,201
1837,"51",95.78,110.09,205.87
1837,"52",98.75,112.41,211.16
1837,"53",100.78,116.12,216.9
1837,"54",101.84,121.22,223.06
1837,"55",102.3,127.24,229.54
1837,"56",103.48,132.37,235.85
1837,"57",105.73,136.15,241.88
1837,"58",109.05,138.58,247.63
1837,"59",113.45,139.66,253.11
1837,"60",118.71,139.76,258.47
1837,"61",124.06,140.34,264.4
1837,"62",129.31,141.75,271.06
1837,"63",134.45,144.02,278.47
1837,"64",139.48,147.13,286.61
1837,"65",144.16,150.77,294.93
1837,"66",147.58,153.6,301.18
1837,"67",149.5,155.32,304.82
1837,"68",149.92,155.92,305.84
1837,"69",148.83,155.4,304.23
1837,"70",146.63,153.75,300.38
1837,"71",144.87,150.89,295.76
1837,"72",143.96,146.82,290.78
1837,"73",143.89,141.52,285.41
1837,"74",144.64,135.01,279.65
1837,"75",145.75,127.63,273.38
1837,"76",145.21,120.81,266.02
1837,"77",142.54,114.89,257.43
1837,"78",137.73,109.88,247.61
1837,"79",130.78,105.78,236.56
1837,"80",121.98,102.17,224.15
1837,"81",112.44,97.27,209.71
1837,"82",102.45,90.69,193.14
1837,"83",92.01,82.42,174.43
1837,"84",81.11,72.44,153.55
1837,"85",69.95,61.21,131.16
1837,"86",59.33,50.48,109.81
1837,"87",49.45,40.67,90.12
1837,"88",40.33,31.79,72.12
1837,"89",31.94,23.84,55.78
1837,"90",24.38,16.9,41.28
1837,"91",17.96,11.27,29.23
1837,"92",12.78,7.02,19.8
1837,"93",8.81,4.15,12.96
1837,"94",6.07,2.66,8.73
1837,"95",4.39,2.31,6.7
1837,"96",3.14,2.12,5.26
1837,"97",2.14,1.87,4.01
1837,"98",1.41,1.55,2.96
1837,"99",0.92,1.15,2.07
1837,"100",0.66,0.72,1.38
1837,"101",0.49,0.29,0.78
1837,"102",0.35,0,0.35
1837,"103",0.27,0,0.27
1837,"104",0.24,0,0.24
1837,"105",0.24,0,0.24
1837,"106",0.24,0,0.24
1837,"107",0.22,0,0.22
1837,"108",0.18,0,0.18
1837,"109",0.12,0,0.12
1837,"110",0,0,0
1838,"0",3516,4338,7854
1838,"1",730.55,807.61,1538.16
1838,"2",502.45,564.39,1066.84
1838,"3",285.01,297.57,582.58
1838,"4",163.99,149.43,313.42
1838,"5",140.81,129.15,269.96
1838,"6",135.47,131.16,266.63
1838,"7",127.97,129.09,257.06
1838,"8",118.3,122.92,241.22
1838,"9",106.46,112.68,219.14
1838,"10",93.34,99.42,192.76
1838,"11",82.51,87.54,170.05
1838,"12",74.84,78.14,152.98
1838,"13",70.33,71.19,141.52
1838,"14",68.99,66.72,135.71
1838,"15",70.21,64.62,134.83
1838,"16",71.57,64.51,136.08
1838,"17",72.47,66.3,138.77
1838,"18",72.89,70,142.89
1838,"19",72.86,75.59,148.45
1838,"20",72.52,82.4,154.92
1838,"21",72.54,87.74,160.28
1838,"22",73.08,90.95,164.03
1838,"23",74.14,92,166.14
1838,"24",75.71,90.9,166.61
1838,"25",77.71,88.14,165.85
1838,"26",79.73,85.63,165.36
1838,"27",81.67,83.87,165.54
1838,"28",83.55,82.83,166.38
1838,"29",85.34,82.53,167.87
1838,"30",87.09,83.09,170.18
1838,"31",88.94,84.99,173.93
1838,"32",90.88,88.35,179.23
1838,"33",92.95,93.15,186.1
1838,"34",95.14,99.43,194.57
1838,"35",97.29,106.4,203.69
1838,"36",98.87,111.06,209.93
1838,"37",99.72,112.66,212.38
1838,"38",99.85,111.2,211.05
1838,"39",99.27,106.67,205.94
1838,"40",98.03,100.09,198.12
1838,"41",96.47,95.47,191.94
1838,"42",94.65,93.83,188.48
1838,"43",92.58,95.16,187.74
1838,"44",90.26,99.45,189.71
1838,"45",87.88,105.91,193.79
1838,"46",86.12,111.27,197.39
1838,"47",85.18,114.71,199.89
1838,"48",85.06,116.24,201.3
1838,"49",85.76,115.85,201.61
1838,"50",87.24,114.14,201.38
1838,"51",89.38,113.45,202.83
1838,"52",92.16,114.39,206.55
1838,"53",95.59,116.93,212.52
1838,"54",99.64,121.1,220.74
1838,"55",104.26,126.45,230.71
1838,"56",109.09,131.28,240.37
1838,"57",114.06,135.15,249.21
1838,"58",119.17,138.07,257.24
